,Week,Genre,Play Share,Total Plays
185,2005-10-02 12:00:00,Metal,0.06575342465753424,365
186,2005-10-02 12:00:00,Indie,0.03287671232876712,365
187,2005-10-09 12:00:00,Jazz,0.5210843373493976,332
188,2005-10-09 12:00:00,Rock,0.37349397590361444,332
189,2005-10-09 12:00:00,other,0.045180722891566265,332
190,2005-10-09 12:00:00,Indie,0.02108433734939759,332
191,2005-10-09 12:00:00,Electronic,0.015060240963855422,332
192,2005-10-09 12:00:00,Hip Hop,0.012048192771084338,332
193,2005-10-09 12:00:00,folk,0.006024096385542169,332
194,2005-10-09 12:00:00,Pop,0.0030120481927710845,332
195,2005-10-09 12:00:00,Metal,0.0030120481927710845,332
196,2005-10-16 12:00:00,Rock,0.7675276752767528,271
197,2005-10-16 12:00:00,Hip Hop,0.02214022140221402,271
198,2005-10-16 12:00:00,Jazz,0.07011070110701106,271
199,2005-10-16 12:00:00,other,0.06642066420664207,271
200,2005-10-16 12:00:00,Pop,0.0036900369003690036,271
201,2005-10-16 12:00:00,Indie,0.02214022140221402,271
202,2005-10-16 12:00:00,folk,0.02214022140221402,271
203,2005-10-16 12:00:00,Metal,0.02214022140221402,271
204,2005-10-16 12:00:00,Electronic,0.0036900369003690036,271
205,2005-10-23 12:00:00,Rock,0.35403726708074534,161
206,2005-10-23 12:00:00,other,0.22981366459627328,161
207,2005-10-23 12:00:00,Metal,0.14285714285714285,161
208,2005-10-23 12:00:00,Electronic,0.018633540372670808,161
209,2005-10-23 12:00:00,Jazz,0.17391304347826086,161
210,2005-10-23 12:00:00,Hip Hop,0.037267080745341616,161
211,2005-10-23 12:00:00,Indie,0.006211180124223602,161
212,2005-10-23 12:00:00,folk,0.031055900621118012,161
213,2005-10-23 12:00:00,Pop,0.006211180124223602,161
214,2005-10-30 12:00:00,Rock,0.29955947136563876,227
215,2005-10-30 12:00:00,Jazz,0.14537444933920704,227
216,2005-10-30 12:00:00,other,0.4008810572687225,227
217,2005-10-30 12:00:00,folk,0.10572687224669604,227
218,2005-10-30 12:00:00,Hip Hop,0.00881057268722467,227
219,2005-10-30 12:00:00,Indie,0.01762114537444934,227
220,2005-10-30 12:00:00,Electronic,0.01762114537444934,227
221,2005-10-30 12:00:00,Metal,0.004405286343612335,227
222,2005-11-06 12:00:00,Rock,0.45018450184501846,271
223,2005-11-06 12:00:00,Jazz,0.1992619926199262,271
224,2005-11-06 12:00:00,other,0.13653136531365315,271
225,2005-11-06 12:00:00,Indie,0.09225092250922509,271
226,2005-11-06 12:00:00,folk,0.033210332103321034,271
227,2005-11-06 12:00:00,Hip Hop,0.033210332103321034,271
228,2005-11-06 12:00:00,Metal,0.025830258302583026,271
229,2005-11-06 12:00:00,Electronic,0.01845018450184502,271
230,2005-11-06 12:00:00,Pop,0.01107011070110701,271
231,2005-11-13 12:00:00,Rock,0.47959183673469385,98
232,2005-11-13 12:00:00,Indie,0.08163265306122448,98
233,2005-11-13 12:00:00,Electronic,0.07142857142857142,98
234,2005-11-13 12:00:00,Jazz,0.17346938775510204,98
235,2005-11-13 12:00:00,Hip Hop,0.04081632653061224,98
236,2005-11-13 12:00:00,Metal,0.02040816326530612,98
237,2005-11-13 12:00:00,other,0.08163265306122448,98
238,2005-11-13 12:00:00,folk,0.030612244897959183,98
239,2005-11-13 12:00:00,Classical,0.01020408163265306,98
240,2005-11-13 12:00:00,Pop,0.01020408163265306,98
241,2005-11-20 12:00:00,Rock,0.4605678233438486,317
242,2005-11-20 12:00:00,Jazz,0.17350157728706625,317
243,2005-11-20 12:00:00,other,0.17981072555205047,317
244,2005-11-20 12:00:00,Electronic,0.025236593059936908,317
245,2005-11-20 12:00:00,Hip Hop,0.03785488958990536,317
246,2005-11-20 12:00:00,Metal,0.03785488958990536,317
247,2005-11-20 12:00:00,folk,0.04100946372239748,317
248,2005-11-20 12:00:00,Indie,0.01892744479495268,317
249,2005-11-20 12:00:00,Pop,0.01892744479495268,317
250,2005-11-20 12:00:00,Classical,0.006309148264984227,317
251,2005-11-27 12:00:00,folk,0.0625,96
252,2005-11-27 12:00:00,Rock,0.3020833333333333,96
253,2005-11-27 12:00:00,other,0.2604166666666667,96
254,2005-11-27 12:00:00,Electronic,0.07291666666666667,96
255,2005-11-27 12:00:00,Pop,0.041666666666666664,96
256,2005-11-27 12:00:00,Indie,0.0625,96
257,2005-11-27 12:00:00,Hip Hop,0.041666666666666664,96
258,2005-11-27 12:00:00,Jazz,0.13541666666666666,96
259,2005-11-27 12:00:00,Metal,0.020833333333333332,96
260,2005-12-04 12:00:00,other,0.33766233766233766,154
261,2005-12-04 12:00:00,Rock,0.38311688311688313,154
262,2005-12-04 12:00:00,Jazz,0.11688311688311688,154
263,2005-12-04 12:00:00,folk,0.03896103896103896,154
264,2005-12-04 12:00:00,Metal,0.032467532467532464,154
265,2005-12-04 12:00:00,Electronic,0.012987012987012988,154
266,2005-12-04 12:00:00,Hip Hop,0.045454545454545456,154
267,2005-12-04 12:00:00,Indie,0.012987012987012988,154
268,2005-12-04 12:00:00,Pop,0.012987012987012988,154
269,2005-12-04 12:00:00,Classical,0.006493506493506494,154
270,2005-12-11 12:00:00,Indie,0.16037735849056603,106
271,2005-12-11 12:00:00,Rock,0.20754716981132076,106
272,2005-12-11 12:00:00,Jazz,0.49056603773584906,106
273,2005-12-11 12:00:00,other,0.10377358490566038,106
274,2005-12-11 12:00:00,Electronic,0.009433962264150943,106
275,2005-12-11 12:00:00,Metal,0.009433962264150943,106
276,2005-12-11 12:00:00,folk,0.009433962264150943,106
277,2005-12-11 12:00:00,Hip Hop,0.009433962264150943,106
278,2005-12-18 12:00:00,Jazz,0.46153846153846156,13
279,2005-12-18 12:00:00,other,0.38461538461538464,13
280,2005-12-18 12:00:00,folk,0.07692307692307693,13
281,2005-12-18 12:00:00,Rock,0.07692307692307693,13
282,2005-12-25 12:00:00,Rock,0.6078431372549019,51
283,2005-12-25 12:00:00,other,0.19607843137254902,51
284,2005-12-25 12:00:00,Jazz,0.11764705882352941,51
285,2005-12-25 12:00:00,Metal,0.0196078431372549,51
286,2005-12-25 12:00:00,Pop,0.0392156862745098,51
287,2005-12-25 12:00:00,Indie,0.0196078431372549,51
288,2006-01-01 12:00:00,other,0.1744186046511628,86
289,2006-01-01 12:00:00,Jazz,0.19767441860465115,86
290,2006-01-01 12:00:00,folk,0.10465116279069768,86
291,2006-01-01 12:00:00,Rock,0.4186046511627907,86
292,2006-01-01 12:00:00,Electronic,0.011627906976744186,86
293,2006-01-01 12:00:00,Metal,0.03488372093023256,86
294,2006-01-01 12:00:00,Indie,0.011627906976744186,86
295,2006-01-01 12:00:00,Hip Hop,0.046511627906976744,86
296,2006-01-08 12:00:00,Jazz,0.4791666666666667,96
297,2006-01-08 12:00:00,other,0.28125,96
298,2006-01-08 12:00:00,Rock,0.19791666666666666,96
299,2006-01-08 12:00:00,folk,0.010416666666666666,96
300,2006-01-08 12:00:00,Metal,0.010416666666666666,96
301,2006-01-08 12:00:00,Classical,0.010416666666666666,96
302,2006-01-08 12:00:00,Electronic,0.010416666666666666,96
303,2006-01-15 12:00:00,Indie,0.08256880733944955,218
304,2006-01-15 12:00:00,Hip Hop,0.07339449541284404,218
305,2006-01-15 12:00:00,other,0.22018348623853212,218
306,2006-01-15 12:00:00,Metal,0.06880733944954129,218
307,2006-01-15 12:00:00,Rock,0.30275229357798167,218
308,2006-01-15 12:00:00,Jazz,0.10550458715596331,218
309,2006-01-15 12:00:00,Electronic,0.09174311926605505,218
310,2006-01-15 12:00:00,Pop,0.022935779816513763,218
311,2006-01-15 12:00:00,folk,0.027522935779816515,218
312,2006-01-15 12:00:00,Classical,0.0045871559633027525,218
313,2006-01-22 12:00:00,Metal,0.3103448275862069,29
314,2006-01-22 12:00:00,other,0.10344827586206896,29
315,2006-01-22 12:00:00,Rock,0.4827586206896552,29
316,2006-01-22 12:00:00,Hip Hop,0.034482758620689655,29
317,2006-01-22 12:00:00,Jazz,0.034482758620689655,29
318,2006-01-22 12:00:00,Electronic,0.034482758620689655,29
319,2006-01-29 12:00:00,other,0.1796875,128
320,2006-01-29 12:00:00,Jazz,0.234375,128
321,2006-01-29 12:00:00,Rock,0.359375,128
322,2006-01-29 12:00:00,Hip Hop,0.0703125,128
323,2006-01-29 12:00:00,Electronic,0.0390625,128
324,2006-01-29 12:00:00,Metal,0.015625,128
325,2006-01-29 12:00:00,folk,0.0546875,128
326,2006-01-29 12:00:00,Pop,0.0234375,128
327,2006-01-29 12:00:00,Indie,0.0234375,128
328,2006-02-05 12:00:00,Rock,0.4527027027027027,148
329,2006-02-05 12:00:00,Jazz,0.3918918918918919,148
330,2006-02-05 12:00:00,other,0.0945945945945946,148
331,2006-02-05 12:00:00,Hip Hop,0.013513513513513514,148
332,2006-02-05 12:00:00,folk,0.013513513513513514,148
333,2006-02-05 12:00:00,Indie,0.013513513513513514,148
334,2006-02-05 12:00:00,Pop,0.013513513513513514,148
335,2006-02-05 12:00:00,Electronic,0.006756756756756757,148
336,2006-02-12 12:00:00,Rock,0.37272727272727274,220
337,2006-02-12 12:00:00,Pop,0.05454545454545454,220
338,2006-02-12 12:00:00,Hip Hop,0.16363636363636364,220
339,2006-02-12 12:00:00,other,0.20454545454545456,220
340,2006-02-12 12:00:00,Jazz,0.06363636363636363,220
341,2006-02-12 12:00:00,folk,0.07727272727272727,220
342,2006-02-12 12:00:00,Metal,0.01818181818181818,220
343,2006-02-12 12:00:00,Electronic,0.013636363636363636,220
344,2006-02-12 12:00:00,Indie,0.031818181818181815,220
345,2006-02-19 12:00:00,Metal,0.0423728813559322,118
346,2006-02-19 12:00:00,other,0.16101694915254236,118
347,2006-02-19 12:00:00,Jazz,0.5338983050847458,118
348,2006-02-19 12:00:00,folk,0.03389830508474576,118
349,2006-02-19 12:00:00,Rock,0.16101694915254236,118
350,2006-02-19 12:00:00,Indie,0.03389830508474576,118
351,2006-02-19 12:00:00,Electronic,0.00847457627118644,118
352,2006-02-19 12:00:00,Hip Hop,0.01694915254237288,118
353,2006-02-19 12:00:00,Pop,0.00847457627118644,118
354,2006-02-26 12:00:00,other,0.3389830508474576,59
355,2006-02-26 12:00:00,Jazz,0.23728813559322035,59
356,2006-02-26 12:00:00,Pop,0.05084745762711865,59
357,2006-02-26 12:00:00,Hip Hop,0.0847457627118644,59
358,2006-02-26 12:00:00,folk,0.05084745762711865,59
359,2006-02-26 12:00:00,Rock,0.1864406779661017,59
360,2006-02-26 12:00:00,Metal,0.05084745762711865,59
361,2006-03-05 12:00:00,other,0.46153846153846156,104
362,2006-03-05 12:00:00,Indie,0.08653846153846154,104
363,2006-03-05 12:00:00,Jazz,0.04807692307692308,104
364,2006-03-05 12:00:00,Rock,0.2980769230769231,104
365,2006-03-05 12:00:00,Metal,0.038461538461538464,104
366,2006-03-05 12:00:00,folk,0.019230769230769232,104
367,2006-03-05 12:00:00,Electronic,0.009615384615384616,104
368,2006-03-05 12:00:00,Pop,0.019230769230769232,104
369,2006-03-05 12:00:00,Classical,0.009615384615384616,104
370,2006-03-05 12:00:00,Hip Hop,0.009615384615384616,104
371,2006-03-19 12:00:00,Hip Hop,0.44,25
372,2006-03-19 12:00:00,Pop,0.2,25
373,2006-03-19 12:00:00,other,0.16,25
374,2006-03-19 12:00:00,Rock,0.12,25
375,2006-03-19 12:00:00,Indie,0.04,25
376,2006-03-19 12:00:00,Electronic,0.04,25
377,2006-03-26 12:00:00,Hip Hop,0.19117647058823528,136
378,2006-03-26 12:00:00,Rock,0.3235294117647059,136
379,2006-03-26 12:00:00,other,0.22058823529411764,136
380,2006-03-26 12:00:00,Metal,0.058823529411764705,136
381,2006-03-26 12:00:00,Electronic,0.029411764705882353,136
382,2006-03-26 12:00:00,Jazz,0.1323529411764706,136
383,2006-03-26 12:00:00,Pop,0.022058823529411766,136
384,2006-03-26 12:00:00,Indie,0.014705882352941176,136
385,2006-03-26 12:00:00,folk,0.007352941176470588,136
386,2006-04-02 12:00:00,Jazz,0.20384615384615384,260
387,2006-04-02 12:00:00,Rock,0.3346153846153846,260
388,2006-04-02 12:00:00,other,0.28846153846153844,260
389,2006-04-02 12:00:00,Metal,0.06923076923076923,260
